COMPETITION,URL
regular_season,https://www.hokej.cz/tipsport-extraliga/stats-center?season=2025&competition=7397&team=&age=&state=&timeFrom=&yearFrom=&yearTo=&t=440%27a%3D0&stats-all=1
play_off,https://www.hokej.cz/tipsport-extraliga/stats-center?season=2025&competition=7537&team=&age=&state=&timeFrom=&yearFrom=&yearTo=&t=440%27a%3D0&stats-all=1
