surname,name,team,pos,#
Jágr,Jaromír,KLA,Ú,68.0
Jánošík,Adam,MBL,O,3.0
Jícha,Josef,LIT,Ú,78.0
Kacetl,Ondřej,TRI,,90.0
Kachlíř,Lukáš,LIB,O,19.0
Kachyňa,Ondřej,CEB,O,98.0
Kalina,Petr,MHK,O,29.0
Kalus,Marek,VIT,Ú,11.0
Kalužík,Tadeáš,PCE,Ú,
Kaplan,Robin,PCE,Ú,
Kasal,Jan,MHK,,2.0
Kaut,Martin,PCE,Ú,61.0
Kavan,Jan,KOM,,1.0
Kaše,David,LIT,Ú,25.0
Kaše,Ondřej,LIT,Ú,73.0
Kašlík,Matej,CEB,Ú,17.0
Kelemen,Miloš,PCE,Ú,29.0
Kivistö,Tommi Petteri,MHK,O,4.0
Klepiš,Jakub,MBL,,21.0
Klepiš,Jakub,SPA,Ú,
Klimeš,Lukáš,VIT,,33.0
Klouček,Milan,CEB,,89.0
Klíma,Kelly,KLA,Ú,67.0
Klíma,Kevin,MHK,Ú,34.0
Knot,Ronald,SPA,O,7.0
Koblasa,Petr,LIT,Ú,10.0
Koblížek,Radek,MBL,Ú,81.0
Koch,Patrik,TRI,O,64.0
Koffer,Filip,KVA,Ú,19.0
Kofroň,David,TRI,Ú,76.0
Kohout,Martin,MHK,Ú,46.0
Kollár,Andrej,KOM,Ú,72.0
Kolmann,Petr,LIB,O,5.0
Koláček,Josef,CEB,Ú,22.0
Kolář,Jan,PCE,O,27.0
Komuls,Markuss,LIT,O,20.0
Kondelík,Jáchym,PCE,Ú,11.0
Konečný,Jakub,KLA,Ú,9.0
Kos,Jakub,KOM,Ú,15.0
Kousal,Pavel,SPA,Ú,23.0
Kousal,Robert,PCE,Ú,90.0
Kovařčík,Michal,TRI,Ú,87.0
Kovařčík,Ondřej,TRI,Ú,
Kovář,Jakub,SPA,,43.0
Kovář,Lukáš,MHK,O,18.0
Kočí,Matteo,KVA,O,6.0
Kořenář,Josef,SPA,,32.0
Košťálek,Jan,PCE,O,33.0
Krastenbergs,Renars,OLO,Ú,9.0
Krejčík,Jakub,SPA,O,36.0
Krenželok,Daniel,VIT,O,3.0
Krošelj,Gašper,KOM,,37.0
Král,Daniel,KVA,,31.0
Král,Filip,KOM,O,8.0
Král,Patrik,MBL,Ú,26.0
Kubiesa,Matěj,TRI,Ú,9.0
Kubík,Adam,CEB,,59.0
Kubík,Adam,LIT,,30.0
Kubík,Adam,PLZ,Ú,59.0
Kubíček,Šimon,CEB,O,98.0
Kubíček,Šimon,MBL,,4.0
Kundrátek,Tomáš,TRI,O,84.0
Kurovský,Daniel,TRI,Ú,69.0
Kusko,Silvester,OLO,Ú,91.0
Kusý,Denis,MHK,Ú,88.0
Kuťák,Filip,SPA,Ú,
Kvasnička,David,PLZ,O,65.0
Kváča,Petr,LIB,,60.0
